ano,Crimes contra crianca,Trafico de drogas,Corrupcao/desvio,Crimes ambientais,Falsificacoes,Contrabando/descaminho,Lavagem de dinheiro,Fraude previdenciaria,Outros
2019,35,58,106,27,31,19,20,26,128
2020,64,103,213,85,44,36,35,37,162
2021,83,164,179,102,65,56,47,81,212
2022,98,127,129,67,67,62,45,52,186
2023,157,124,93,70,66,67,42,40,197
2024,398,261,186,151,114,116,99,54,423
2025,345,286,182,142,111,115,74,59,367
2026,109,111,64,38,25,45,30,7,130
