"status","markdown_path","titulo_extraido","subtitulo_extraido","tags_extraidas","link"
"ok","data_exemplo_noticias\noticias_markdown\acao-conjunta-visa-garantir-protecao-ambiental-em-paranagua-045927d9.md","Ação conjunta visa garantir proteção ambiental em Paranaguá","Trata-se da décima primeira fase Operação Aifa","Paraná | Operação PF","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/07/acao-conjunta-visa-garantir-protecao-ambiental-em-paranagua"
"ok","data_exemplo_noticias\noticias_markdown\em-acao-conjunta-pf-captura-foragido-e-apreende-diversas-armas-de-fogo-em-barreiras-b7d3767f.md","Em ação conjunta, PF captura foragido e apreende diversas armas de fogo em Barreiras","Na ação, foram apreendidas 11 armas – de uso permitido e restrito - além de carregadores e munições","Bahia | Operação PF","https://www.gov.br/pf/pt-br/assuntos/noticias/2025/05/em-acao-conjunta-pf-captura-foragido-e-apreende-diversas-armas-de-fogo-em-barreiras"
"ok","data_exemplo_noticias\noticias_markdown\ficco-ac-atua-contra-operadores-financeiros-de-grupo-criminoso-e2f9fef5.md","FICCO/AC atua contra operadores financeiros de grupo criminoso","Suspeitos operavam a partir de unidades prisionais e de cidades, como Rio Branco/AC, Sena Madureira/AC e Goianira/GO","Operação PF | FICCO | Organização criminosa | Acre","https://www.gov.br/pf/pt-br/assuntos/noticias/2026/04/ficco-ac-atua-contra-operadores-financeiros-de-grupo-criminoso"
"ok","data_exemplo_noticias\noticias_markdown\ficco-ce-combate-o-trafico-de-drogas-em-aquiraz-ce-dc9d0c8d.md","FICCO/CE combate o tráfico de drogas em Aquiraz/CE","Foram cumpridos três mandados de prisão preventiva e três de busca e apreensão nos municípios de Aquiraz (CE) e Mossoró (RN).","Operação PF | FICCO/CE | Ceará","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/04/ficco-ce-combate-o-trafico-de-drogas-em-aquiraz-ce"
"ok","data_exemplo_noticias\noticias_markdown\ficco-df-deflagra-operacao-em-combate-ao-trafico-de-drogas-7235df99.md","FICCO/DF deflagra operação em combate ao tráfico de drogas","Estão sendo cumpridos dez mandados de busca e apreensão","Operação PF | Distrito Federal | Tráfico de drogas","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/09/ficco-df-deflagra-operacao-em-combate-ao-trafico-de-drogas"
"ok","data_exemplo_noticias\noticias_markdown\ficco-df-deflagra-operacao-transarmamentista-contra-o-trafico-de-armas-e-lavagem-de-dinheiro-7ab9e230.md","FICCO/DF deflagra Operação Transarmamentista contra o tráfico de armas e lavagem de dinheiro","Foram executadas 23 ordens judiciais expedidas pela Justiça do Distrito Federal, que incluem 5 mandados de prisão preventiva e 18 mandados de busca e apreensão","Distrito Federal | Operação PF | Tráfico de armas | Destaque","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/08/ficco-df-deflagra-operacao-transarmamentista-contra-o-trafico-de-armas-e-lavagem-de-dinheiro"
"ok","data_exemplo_noticias\noticias_markdown\ficco-es-reprime-organizacoes-criminosas-responsaveis-por-trafico-de-drogas-e-armas-a1fffa2d.md","FICCO/ES reprime organizações criminosas responsáveis por tráfico de drogas e armas","Estão sendo cumpridos seis mandados de busca e apreensão e seis mandados de prisão temporária","Operação PF | Esp´írito Santo | Tráfico de drogas e armas | Espírito Santo","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/08/ficco-es-reprime-organizacoes-criminosas-responsaveis-por-trafico-de-drogas-e-armas"
"ok","data_exemplo_noticias\noticias_markdown\ficco-ilheus-apreende-11-kg-de-drogas-em-imovel-em-itabuna-6dc01638.md","FICCO/Ilhéus apreende 11 kg de drogas em imóvel em Itabuna","No local alvo da denúncia, as guarnições encontraram grande quantidade de entorpecentes, balança de precisão e materiais utilizados para o acondicionamento da droga","Bahia | Operação PF","https://www.gov.br/pf/pt-br/assuntos/noticias/2025/09/ficco-ilheus-apreende-11-kg-de-drogas-em-imovel-em-itabuna"
"ok","data_exemplo_noticias\noticias_markdown\ficco-ilheus-deflagra-operacao-em-combate-ao-trafico-de-drogas-no-sul-da-bahia-49d59151.md","FICCO/Ilhéus deflagra operação em combate ao tráfico de drogas no sul da Bahia","Foram cumpridos cinco mandados de busca e apreensão em Ibirapitanga/BA e em Ubatã/BA","Operação PF | Ilhéus | Bahia","https://www.gov.br/pf/pt-br/assuntos/noticias/2025/08/ficco-ilheus-deflagra-operacao-em-combate-ao-trafico-de-drogas-no-sul-da-bahia"
"ok","data_exemplo_noticias\noticias_markdown\ficco-ms-deflagra-operacao-contra-condenado-por-homicidio-em-bandeirantes-ms-4e8953a1.md","FICCO/MS deflagra operação contra condenado por homicídio em Bandeirantes/MS","Na ação, homem foi capturado em imóvel na zona rural","Operação PF | Mato Grosso do Sul | Homicídio","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/08/ficco-ms-deflagra-operacao-contra-condenado-por-homicidio-em-bandeirantes-ms"
"ok","data_exemplo_noticias\noticias_markdown\ficco-mt-desarticula-faccao-criminosa-responsavel-por-lavagem-de-dinheiro-em-casas-de-shows-em-cuiaba-b792e9fc.md","FICCO/MT desarticula facção criminosa responsável por lavagem de dinheiro em casas de shows em Cuiabá","A ação conta com apoio do CIOPAER e do GAECO/MPMT,","Operação PF | facção criminosa | Mato Grosso","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/06/ficco-mt-desarticula-faccao-criminosa-responsavel-por-lavagem-de-dinheiro-em-casas-de-shows-em-cuiaba"
"ok","data_exemplo_noticias\noticias_markdown\ficco-pa-prende-seis-pessoas-por-trafico-de-drogas-129ba8a6.md","FICCO/PA prende seis pessoas por tráfico de drogas","Alvos são suspeitos de fazer parte de organização criminosa","Pará | Operação PF","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/08/ficco-pa-prende-seis-pessoas-por-trafico-de-drogas"
"ok","data_exemplo_noticias\noticias_markdown\ficco-rj-reprime-crimes-de-trafico-e-importacao-ilegal-de-armas-de-fogo-no-rio-de-janeiro-9c4c873f.md","FICCO/RJ reprime crimes de tráfico e importação ilegal de armas de fogo no Rio de Janeiro","Foram cumpridos quatro mandados de busca e apreensão na Zona Oeste","Operação PF | Rio de Janeiro | Tráfico e importação ilegal de armas de fogo","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/06/ficco-rj-reprime-crimes-de-trafico-e-importacao-ilegal-de-armas-de-fogo-no-rio-de-janeiro"
"ok","data_exemplo_noticias\noticias_markdown\ficco-ro-deflagra-operacao-escarnio-contra-integrantes-de-organizacao-criminosa-bdb034ff.md","FICCO/RO deflagra Operação Escárnio contra integrantes de organização criminosa","Estão sendo investigados uma série de atentados contra órgãos públicos e agentes da segurança pública ocorridos no primeiro trimestre de 2025","Operação PF | Polícia Federal | Organização criminosa | Mandado de prisão temporária | Busca e apreensão | Rondônia","https://www.gov.br/pf/pt-br/assuntos/noticias/2025/06/ficco-ro-deflagra-operacao-escarnio-contra-integrantes-de-organizacao-criminosa"
"ok","data_exemplo_noticias\noticias_markdown\ficco-ro-faz-operacao-contra-grupo-especializado-em-furto-a-bancos-120cf142.md","FICCO/RO faz operação contra grupo especializado em furto a bancos","Foram cumpridos dez mandados de busca e apreensão","Rondônia | Operação PF | FICCO/RO","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/11/ficco-ro-faz-operacao-contra-grupo-especializado-em-furto-a-bancos"
"ok","data_exemplo_noticias\noticias_markdown\ficco-rr-combate-faccao-criminosa-e-prende-duas-pessoas-em-flagrante-c3d1018f.md","FICCO/RR combate facção criminosa e prende seis pessoas","Na ação também foram cumpridos quatro mandados de prisão e três mandados de busca e apreensão.","Operação PF | facção criminosa | Roraima","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/04/ficco-rr-combate-faccao-criminosa-e-prende-duas-pessoas-em-flagrante"
"ok","data_exemplo_noticias\noticias_markdown\ficco-rr-deflagra-operacao-contra-trafico-de-drogas-em-roraima-2a13b615.md","FICCO/RR deflagra operação contra tráfico de drogas em Roraima","Na ação foram cumpridos três mandados de prisão preventiva e um mandado de busca e apreensão","Operação PF | Polícia Federal | Tráfico de drogas | Apreensão | Roraima","https://www.gov.br/pf/pt-br/assuntos/noticias/2025/08/ficco-rr-deflagra-operacao-contra-trafico-de-drogas-em-roraima"
