"status","markdown_path","titulo_extraido","subtitulo_extraido","tags_extraidas","link"
"ok","data_exemplo_noticias\noticias_markdown\operacao-apate-combate-desvios-de-recursos-publicos-federais-4ad1bf30.md","Operação Apate combate desvios de recursos públicos federais","PF investiga irregularidades da aplicação de recursos oriundos do FUNDEB pela Prefeitura de Aparecida/SP","Operação PF | Destaque | Fraude à licitação | Desvio de recursos | FUNDEB","https://www.gov.br/pf/pt-br/assuntos/noticias/2021/09/operacao-apate-combate-desvios-de-recursos-publicos-federais"
"ok","data_exemplo_noticias\noticias_markdown\operacao-artimanha-combate-crimes-de-estelionato-previdenciario-no-para-a3b24cfa.md","Operação Artimanha combate crimes de estelionato previdenciário no Pará","Grupo criminoso promovia fraudes contra o INSS, mediante criação de beneficiários fictícios de benefícios assistenciais","Operação PF | Destaque | Estelionato previdenciário","https://www.gov.br/pf/pt-br/assuntos/noticias/2021/09/operacao-artimanha-combate-crimes-de-estelionato-previdenciario-no-para"
"ok","data_exemplo_noticias\noticias_markdown\operacao-cartao-vermelho-2-combate-desvio-de-recursos-publicos-no-contexto-da-pandemia-de-covid-19-ba968a5d.md","Operação Cartão Vermelho 2 combate desvio de recursos públicos no contexto da pandemia de Covid-19","PF investiga atuação criminosa de servidores públicos, dirigentes de organização social, contratada para gestão do hospital de campanha, e empresários","Operação PF | Destaque | Desvio de recursos públicos | Hospital de campanha | Covid-19","https://www.gov.br/pf/pt-br/assuntos/noticias/2021/08/operacao-cartao-vermelho-2-combate-desvio-de-recursos-publicos-no-contexto-da-pandemia-de-covid-19"
"ok","data_exemplo_noticias\noticias_markdown\operacao-cartao-vermelho-combate-faccao-criminosa-na-regiao-de-santa-cruz-do-sul-rs-2349a452.md","Operação Cartão Vermelho combate facção criminosa na região de Santa Cruz do Sul/RS","PF investiga atuação de facção no tráfico de drogas na região. A ação tem o apoio da Polícia Civil e da Brigada Militar do Estado","Operação PF | RS | Tráfico de Drogas | facção criminosa | Destaque","https://www.gov.br/pf/pt-br/assuntos/noticias/2019/06/operacao-cartao-vermelho-combate-faccao-criminosa-na-regiao-de-santa-cruz-do-sul-rs"
"ok","data_exemplo_noticias\noticias_markdown\operacao-catira-combate-corrupcao-no-sistema-penitenciario-de-minas-gerais-e033155f.md","Operação Catira combate corrupção no sistema penitenciário de Minas Gerais","Estão sendo cumpridos 12 mandados de buscas e uma medida cautelar de afastamento de função pública de 7 investigados","Operação PF | Destaque | Peculato | Corrupção","https://www.gov.br/pf/pt-br/assuntos/noticias/2021/06/operacao-catira-combate-corrupcao-no-sistema-penitenciario-de-minas-gerais"
"ok","data_exemplo_noticias\noticias_markdown\operacao-contagium-investiga-desvio-de-verba-federal-para-o-combate-ao-covid-19-no-municipio-de-rorainopolis-rr-43a2eb7a.md","Operação Contagium investiga desvio de verba federal para o combate ao Covid-19 no Município de Rorainópolis/RR","Investigação aponta para a existência de um grupo político e um grupo empresarial dentro da organização criminosa","Operação PF | Destaque | Desvio de verba federal | Fraude à licitação","https://www.gov.br/pf/pt-br/assuntos/noticias/2021/08/operacao-contagium-investiga-desvio-de-verba-federal-para-o-combate-ao-covid-19-no-municipio-de-rorainopolis-rr"
"ok","data_exemplo_noticias\noticias_markdown\operacao-da-pf-investiga-empresa-de-energia-por-fraude-em-financiamento-b44bb671.md","Operação da PF investiga empresa de energia por fraude em financiamento","Durante as diligências, a Polícia Federal verificou que o endereço comercial da empresa acusada se encontrava abandonado e que os demais investigados não foram localizados em diversos endereços cadastrados","Polícia Federal | Operação PF | Rio Grande do Norte","https://www.gov.br/pf/pt-br/assuntos/noticias/2025/04/operacao-da-pf-investiga-empresa-de-energia-por-fraude-em-financiamento"
"ok","data_exemplo_noticias\noticias_markdown\operacao-descenso-desarticula-lideranca-de-faccao-criminosa-no-ma-73981fdf.md","Operação Descenso desarticula liderança de facção criminosa no MA","Ação integrada da FICCO/MA cumpre mandados em quatro municípios e mira integrantes da liderança da organização, com bloqueio de R$ 26 milhões e apreensão de bens","Operação PF | Polícia Federal | Maranhão","https://www.gov.br/pf/pt-br/assuntos/noticias/2025/06/operacao-descenso-desarticula-lideranca-de-faccao-criminosa-no-ma"
"ok","data_exemplo_noticias\noticias_markdown\operacao-ductil-ii-combate-desvios-de-recursos-publicos-destinados-a-aquisicao-de-materiais-usados-no-combate-a-pandemia-da-covid-19-3d39a47a.md","Operação Dúctil II combate desvios de recursos públicos destinados à aquisição de materiais usados no combate à pandemia da Covid-19","PF investiga esquema de fraudes em aquisições emergenciais de produtos hospitalares realizadas pela Secretaria de Saúde de Guarajá-Mirim/RO","Operação PF | Rondônia | Secretaria de Saúde | combate à covid-19 | pandemia | desvios de recursos públicos | fraudes contratuais | Polícia Federal","https://www.gov.br/pf/pt-br/assuntos/noticias/2020/07-noticias-de-julho-de-2020/operacao-ductil-ii-combate-desvios-de-recursos-publicos-destinados-a-aquisicao-de-materiais-usados-no-combate-a-pandemia-da-covid-19"
"ok","data_exemplo_noticias\noticias_markdown\operacao-facetas-investiga-fraudes-na-caixa-economica-em-alagoas-2fa8d755.md","Operação Facetas investiga fraudes na Caixa Econômica em Alagoas","PF desarticula grupo criminoso responsável pela aplicação de fraudes bancárias na Caixa","Operação PF | Destaque | AL | fraudes bancárias","https://www.gov.br/pf/pt-br/assuntos/noticias/2019/05/operacao-facetas-investiga-fraudes-na-caixa-economica-em-alagoas"
"ok","data_exemplo_noticias\noticias_markdown\operacao-falsario-combate-falsificacao-de-sinal-publico-1-e601d0a6.md","Operação Falsário combate falsificação de sinal público","Homem foi preso em flagrante","Operação PF | Destaque | Falsificação de sinal público","https://www.gov.br/pf/pt-br/assuntos/noticias/2019/10/operacao-falsario-combate-falsificacao-de-sinal-publico-1"
"ok","data_exemplo_noticias\noticias_markdown\operacao-feudo-desarticula-esquema-de-fraudes-em-ro-a87cb01b.md","Operação Feudo desarticula esquema de fraudes em RO","PF investiga desvio de recursos público em processos licitatórios do município de Ministro Andreazza/RO","Operação PF | Ministro Andreazza/RO | desvio de recursos públicos | Fraude à licitação | Destaque","https://www.gov.br/pf/pt-br/assuntos/noticias/2019/04/operacao-feudo-desarticula-esquema-de-fraudes-em-ro"
"ok","data_exemplo_noticias\noticias_markdown\operacao-garfos-desarticula-faccao-criminosa-que-atuava-dentro-e-fora-de-presidios-em-roraima-8224899a.md","Operação Garfos desarticula facção criminosa que atuava dentro e fora de presídios em Roraima","Grupo investigado é envolvido em tráfico de drogas e armamentos na região.","Operação PF | Boa Vista/RR | Roraima | tráfico de drogas | facção criminosa | presídio | Polícia Federal","https://www.gov.br/pf/pt-br/assuntos/noticias/2020/08-noticias-de-agosto-de-2020/operacao-garfos-desarticula-faccao-criminosa-que-atuava-dentro-e-fora-de-presidios-em-roraima"
"ok","data_exemplo_noticias\noticias_markdown\operacao-grilos-do-cerrado-investiga-fraudes-de-financiamento-rural-na-regiao-central-do-tocantins-ab57c8b2.md","Operação Grilos do Cerrado investiga fraudes de financiamento rural na região central do Tocantins","Investigado teria utilizado certidão de registro de imóvel falsa para fazer contratação de dois financiamentos rurais em um imóvel que não era de sua propriedade","Operação PF | Destaque | Fraude | Financiamento rural","https://www.gov.br/pf/pt-br/assuntos/noticias/2021/08/operacao-grilos-do-cerrado-investiga-fraudes-de-financiamento-rural-na-regiao-central-do-tocantins"
"ok","data_exemplo_noticias\noticias_markdown\operacao-ikatere-combate-a-pesca-ilegal-bdf54f71.md","Operação Ikatere combate a pesca ilegal","A ação tem como objetivo combater mundialmente crimes marítimos por meio do aprimoramento da cooperação interinstitucional","Operação PF | Pesca ilegal | Crimes marítimos","https://www.gov.br/pf/pt-br/assuntos/noticias/2021/09/operacao-ikatere-combate-a-pesca-ilegal"
"ok","data_exemplo_noticias\noticias_markdown\operacao-matrina-combate-irregularidades-na-concessao-do-beneficio-assistencial-bolsa-familia-no-acre-523d2d7d.md","Operação Matrina combate irregularidades na Concessão do Benefício Assistencial Bolsa Família no Acre","Fraude causou um prejuízo estimado de R$ 150 mil aos cofres públicos","Operação PF | Destaque | Fraude | Bolsa família","https://www.gov.br/pf/pt-br/assuntos/noticias/2021/07/operacao-matrina-combate-irregularidades-na-concessao-do-beneficio-assistencial-bolsa-familia-no-acre"
"ok","data_exemplo_noticias\noticias_markdown\operacao-monster-investiga-organizacao-criminosa-responsavel-por-comercializacao-de-moeda-falsa-db717780.md","Operação Monster investiga organização criminosa responsável por comercialização de moeda falsa","O comércio de moedas falsas era feito mediante o uso de mídias sociais","Operação PF | Destaque | Moeda falsa","https://www.gov.br/pf/pt-br/assuntos/noticias/2019/09/operacao-monster-investiga-organizacao-criminosa-responsavel-por-comercializacao-de-moeda-falsa"
"ok","data_exemplo_noticias\noticias_markdown\operacao-narcos-gold-combate-lavagem-de-dinheiro-oriundo-do-trafico-de-drogas-no-para-3e57a4da.md","Operação Narcos Gold combate lavagem de dinheiro oriundo do tráfico de drogas no Pará","Pessoas físicas e jurídicas investigadas, estabelecidas em vários estados da federação, teriam movimentado mais de R$ 1 bilhão no período de 2017 ao início de 2021","Operação PF | Destaque | Tráfico de drogas | Lavagem de dinheiro","https://www.gov.br/pf/pt-br/assuntos/noticias/2021/11/operacao-narcos-gold-combate-lavagem-de-dinheiro-oriundo-do-trafico-de-drogas-no-para"
"ok","data_exemplo_noticias\noticias_markdown\operacao-siriema-investiga-desmatamento-na-reserva-indigena-areoes-ead10438.md","Operação Siriema investiga desmatamento na Reserva Indígena Areões","No local, a PF encontrou acampamento de possíveis caçadores","Operação PF | Destaque | Desmatamento ilegal","https://www.gov.br/pf/pt-br/assuntos/noticias/2019/08/operacao-siriema-investiga-desmatamento-na-reserva-indigena-areoes"
"ok","data_exemplo_noticias\noticias_markdown\pf-apura-desvios-bancarios-que-geraram-prejuizos-a-caixa-economica-federal-a5e7dcf2.md","PF apura desvios bancários que geraram prejuízos à Caixa Econômica Federal","Foi dado cumprimento de afastamento preventivo da função pública contra empregado do banco","Operação PF | Fraude | CEF | Lajes SC","https://www.gov.br/pf/pt-br/assuntos/noticias/2022/10/pf-apura-desvios-bancarios-que-geraram-prejuizos-a-caixa-economica-federal"
"ok","data_exemplo_noticias\noticias_markdown\pf-apura-fraude-em-salario-maternidade-01e9a7d3.md","PF apura fraude em salário-maternidade","Cerca de 170 benefícios irregulares causaram prejuízo superior a R$ 800 mil","Operação PF | Pará | Fraudes","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/09/pf-apura-fraude-em-salario-maternidade"
"ok","data_exemplo_noticias\noticias_markdown\pf-apura-fraudes-contra-o-inss-d53b0786.md","PF apura fraudes contra o INSS","Operação Custo Maior é decorrente de outra ação realizada em 2018","Operação PF | INSS | Campinas | Destaque","https://www.gov.br/pf/pt-br/assuntos/noticias/2022/06/pf-apura-fraudes-contra-o-inss"
"ok","data_exemplo_noticias\noticias_markdown\pf-apura-fraudes-em-procedimentos-licitatorios-de-compra-de-itens-alimenticios-em-sp-12b37066.md","PF apura fraudes em procedimentos licitatórios de compra de itens alimentícios em SP","Polícia Federal deflagra Operação Deméter – Fase 2, em Marília/SP.","Polícia Federal | Operação PF | São Paulo | fraudes em licitações | Destaque","https://www.gov.br/pf/pt-br/assuntos/noticias/2022/02/pf-apura-fraudes-em-procedimentos-licitatorios-de-compra-de-itens-alimenticios-em-sp"
"ok","data_exemplo_noticias\noticias_markdown\pf-apura-possivel-crime-eleitoral-em-riachao-do-dantas-se-551d415a.md","PF apura possível crime eleitoral em Riachão do Dantas/SE","Operação Jogo Duplo investiga suspeita de compra de voto","Sergipe | Operação PF","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/12/pf-apura-possivel-crime-eleitoral-em-riachao-do-dantas-se"
"ok","data_exemplo_noticias\noticias_markdown\pf-deflagra-operacao-de-combate-ao-trafico-de-drogas-no-acre-044d8c99.md","PF atua contra tráfico de drogas no Acre","Operação Rota 364 cumpre dez mandados judiciais em três municípios do estado","Acre | Operação PF | Tráfico de droga | Cruzeiro do Sul | Mâncio Lima | Rodrigues Alves","https://www.gov.br/pf/pt-br/assuntos/noticias/2026/04/pf-deflagra-operacao-de-combate-ao-trafico-de-drogas-no-acre"
"ok","data_exemplo_noticias\noticias_markdown\pf-combate-abuso-sexual-infantil-na-internet-8f00692d.md","PF combate abuso sexual infantil na internet","Operação Arcanjo IX ocorreu em Itaboraí/RJ","Operação PF | Rio de Janeiro | Pornografia Infantil","https://www.gov.br/pf/pt-br/assuntos/noticias/2023/02/pf-combate-abuso-sexual-infantil-na-internet"
"ok","data_exemplo_noticias\noticias_markdown\pf-combate-abuso-sexual-infantil-por-meio-da-internet-no-es-c29bbca1.md","PF combate abuso sexual infantil por meio da internet no ES","Foi cumprido um mandado de prisão preventiva e um de busca e apreensão.","Operação PF | abuso sexual infantil | Espírito Santo","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/05/pf-combate-abuso-sexual-infantil-por-meio-da-internet-no-es"
"ok","data_exemplo_noticias\noticias_markdown\pf-combate-abuso-sexual-infantojuvenil-em-pernambuco-31cba74a.md","PF combate abuso sexual infantojuvenil em Pernambuco","Foram cumpridos dois mandados de busca e apreensão e Jaboatão dos Guararapes","Pernambuco | Operação PF","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/05/pf-combate-abuso-sexual-infantojuvenil-em-pernambuco"
"ok","data_exemplo_noticias\noticias_markdown\pf-combate-o-armazenamento-e-compartilhamento-de-conteudo-sexual-infantojuvenil-na-internet-f9e85a5c.md","PF combate abuso sexual infantojuvenil na internet","Foi cumprido um mandado de busca e apreensão em Fortaleza/CE","Operação PF | Ceará | Abuso sexual infantojuvenil","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/08/pf-combate-o-armazenamento-e-compartilhamento-de-conteudo-sexual-infantojuvenil-na-internet"
"ok","data_exemplo_noticias\noticias_markdown\pf-combate-operacao-de-abuso-sexual-infantojuvenil-no-interior-do-ceara-f6efec27.md","PF combate abuso sexual infantojuvenil no interior do Ceará","Um homem foi preso preventivamente e pelo menos duas vítimas foram identificadas","Ceará | Operação PF | Abuso sexual | Infantojuvenil","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/04/pf-combate-operacao-de-abuso-sexual-infantojuvenil-no-interior-do-ceara"
"ok","data_exemplo_noticias\noticias_markdown\pf-combate-abuso-sexual-infantojuvenil-no-piaui-1-8e3d1c01.md","PF combate abuso sexual infantojuvenil no Piauí","Operação Carcará 6 foi deflagrada na manhã desta terça-feira, 30/7","Piauí | Operação PF","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/07/pf-combate-abuso-sexual-infantojuvenil-no-piaui-1"
"ok","data_exemplo_noticias\noticias_markdown\pf-combate-abuso-sexual-infantojuvenil-no-rio-grande-do-sul-b0c2249c.md","PF combate abuso sexual infantojuvenil no Rio Grande do Sul","Durante a ação, policiais federais apreenderam computadores e celulares que serão submetidos a análise pericial","Operação PF | Polícia Federal | Abuso sexual infantojuvenil | Busca e Apreensão | Rio Grande do Sul","https://www.gov.br/pf/pt-br/assuntos/noticias/2025/07/pf-combate-abuso-sexual-infantojuvenil-no-rio-grande-do-sul"
"ok","data_exemplo_noticias\noticias_markdown\pf-combate-abuso-sexual-infantojuvenil-pela-internet-96c5277b.md","PF combate abuso sexual infantojuvenil pela internet","Foi realizada uma prisão em flagrante e dois mandados de busca e apreensão foram cumpridos em João Pessoa/PB","Operação PF | Paraíba | Abuso sexual infantojuvenil","https://www.gov.br/pf/pt-br/assuntos/noticias/pf-combate-abuso-sexual-infantojuvenil-pela-internet"
"ok","data_exemplo_noticias\noticias_markdown\pf-combate-circulacao-de-moeda-falsa-em-congonhas-mg-0853a25d.md","PF combate circulação de moeda falsa em Congonhas/MG","Operação Argentum Profhetas investiga derrame de cédulas falsas na região mineira","Operação PF | Minas Gerais | Moeda falsa | falsificação de moeda","https://www.gov.br/pf/pt-br/assuntos/noticias/2020/07-noticias-de-julho-de-2020/pf-combate-circulacao-de-moeda-falsa-em-congonhas-mg"
"ok","data_exemplo_noticias\noticias_markdown\pf-combate-comercio-de-conteudo-sexual-infantojuvenil-no-interior-do-ceara-5572e8f7.md","PF combate comércio de conteúdo sexual infantojuvenil no interior do Ceará","Foram cumpridos dois mandados de busca e apreensão nos municípios de Acarape e Aracoiaba.","Operação PF | abuso sexual infantojuvenil | Ceará","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/05/pf-combate-comercio-de-conteudo-sexual-infantojuvenil-no-interior-do-ceara"
"ok","data_exemplo_noticias\noticias_markdown\pf-combate-comercio-ilegal-de-equipamentos-eletronicos-por-meio-de-redes-sociais-89b327a1.md","PF combate comércio ilegal de equipamentos eletrônicos por meio de redes sociais","Grupo criminoso investigado utilizava redes sociais para revender ilegalmente produtos eletrônicos.","Operação PF | contrabando | comércio ilegal | Rio Grande do Sul","https://www.gov.br/pf/pt-br/assuntos/noticias/2024/02/pf-combate-comercio-ilegal-de-equipamentos-eletronicos-por-meio-de-redes-sociais"
"ok","data_exemplo_noticias\noticias_markdown\pf-combate-contrabando-de-cigarros-e-associacao-criminosa-6a4ca874.md","PF combate contrabando de cigarros e associação criminosa","Dentre os suspeitos, constam pessoas que já foram investigadas ou mesmo presas pela Polícia Federal em Mossoró pelo mesmo tipo de crime","Operação PF | Contrabando | Cigarros | RN","https://www.gov.br/pf/pt-br/assuntos/noticias/2022/08/pf-combate-contrabando-de-cigarros-e-associacao-criminosa"
"ok","data_exemplo_noticias\noticias_markdown\pf-combate-crime-contra-a-administracao-publica-f981d09c.md","PF combate crime contra a administração pública","Policiais Federais cumprem seis mandados judiciais de busca e apreensão","Operação PF | Goiás | Covid | Desvios","https://www.gov.br/pf/pt-br/assuntos/noticias/2023/03/pf-combate-crime-contra-a-administracao-publica"
"ok","data_exemplo_noticias\noticias_markdown\pf-combate-crime-de-reducao-a-condicao-analoga-a-de-escravo-325b99b7.md","PF combate crime de redução à condição análoga a de escravo","A ação ocorreu em fazendas nos municípios de Cachoeira do Ararí e Ponta de Pedras, na Ilha do Marajó, no Estado do Pará","Operação PF | Destaque | Trabalho escravo","https://www.gov.br/pf/pt-br/assuntos/noticias/2022/04/pf-combate-crime-de-reducao-a-condicao-analoga-a-de-escravo"
"ok","data_exemplo_noticias\noticias_markdown\pf-combate-crime-organizado-na-fronteira-com-a-guiana-francesa-59e18842.md","PF combate crime organizado na fronteira com a Guiana Francesa","Operação Quinino investiga grupo responsável pela prática de diversos crimes na região, como tráfico internacional de drogas, de armas e de pessoas","Operação PF | Destaque | Organização criminosa | Tráfico de drogas e armas | Tráfico de pessoas","https://www.gov.br/pf/pt-br/assuntos/noticias/2021/02/pf-combate-crime-organizado-na-fronteira-com-a-guiana-francesa"
"ok","data_exemplo_noticias\noticias_markdown\pf-combate-crime-organizado-no-acre-5d88a3fd.md","PF combate crime organizado no Acre","Operação Mater Criminis mira o tráfico internacional de drogas e a lavagem de dinheiro em Epitaciolândia e Brasiléia","Acre | Operação PF","https://www.gov.br/pf/pt-br/assuntos/noticias/2025/11/pf-combate-crime-organizado-no-acre"
"ok","data_exemplo_noticias\noticias_markdown\policia-federal-deflagra-a-operacao-para-reprimir-crimes-ambientais-lavagem-de-dinheiro-e-corrupcao-2432a74a.md","PF combate crimes ambientais, lavagem de dinheiro e corrupção","Operação Ojuara desarticula organização criminosa dedicada à prática de crimes ambientais","Destaque | Operação PF | Crime ambiental","https://www.gov.br/pf/pt-br/assuntos/noticias/2019/05/policia-federal-deflagra-a-operacao-para-reprimir-crimes-ambientais-lavagem-de-dinheiro-e-corrupcao"
